OBJECTID,GEOID,ALAND,AWATER,NAME,State,County,B19049_001E,B19049_001M,B19049_002E,B19049_002M,B19049_003E,B19049_003M,B19049_004E,B19049_004M,B19049_005E,B19049_005M,B19013B_001E,B19013B_001M,B19013C_001E,B19013C_001M,B19013D_001E,B19013D_001M,B19013E_001E,B19013E_001M,B19013F_001E,B19013F_001M,B19013G_001E,B19013G_001M,B19013H_001E,B19013H_001M,B19013I_001E,B19013I_001M,B19053_001E,B19053_001M,B19053_002E,B19053_002M,B19053_003E,B19053_003M,B19053_calc_pctSelfempE,B19053_calc_pctSelfempM,Shape__Area,Shape__Length,Shape__Area_2,Shape__Length_2
116,11001007808,936852,7722,Census Tract 78.08,District of Columbia,District of Columbia,33568,12577,,,35833,35376,55000,33705,16782,10495,33477,13818,,,,,,,,,,,,,41359,905,1453,115,106,84,1347,135,7.3,5.752236438,1561485.616,5367.093808,1561485.574,5367.093808
117,11001007809,535254,0,Census Tract 78.09,District of Columbia,District of Columbia,51094,19260,,,29952,16764,50417,22574,80135,18410,51146,18514,,,,,,,,,,,,,,,1147,108,9,14,1138,106,0.8,1.218337298,885054.066,4983.870722,885054.0938,4983.870722
118,11001007901,402041,0,Census Tract 79.01,District of Columbia,District of Columbia,67122,15034,,,95694,16360,27200,26456,48214,27017,46648,17027,,,,,,,,,,,127431,15858,102159,9694,1565,112,153,62,1412,126,9.8,3.899391058,664688.2406,3325.524711,664688.2656,3325.524711
119,11001007903,247945,0,Census Tract 79.03,District of Columbia,District of Columbia,85357,9004,,,121406,19915,58750,11195,69805,8892,68269,7321,,,128750,42415,,,,,,,134375,18718,,,800,64,36,23,764,68,4.5,2.85237182,409923.4774,2801.785213,409923.4883,2801.785213
120,11001008001,322795,0,Census Tract 80.01,District of Columbia,District of Columbia,145641,18466,,,158158,24872,133750,66751,,,84156,15258,,,,,,,,,132917,106611,180208,11988,175089,37179,1324,99,191,79,1133,104,14.4,5.868454866,533673.0163,3036.133801,533673.0117,3036.133801
121,11001008002,578960,0,Census Tract 80.02,District of Columbia,District of Columbia,114659,21408,168015,132784,134615,29639,110625,93075,27500,9774,62832,60783,,,,,,,,,,,174519,30556,154722,48568,1552,84,86,42,1466,86,5.5,2.68951537,957049.8273,4987.316601,957049.832,4987.316601
122,11001008100,290283,0,Census Tract 81,District of Columbia,District of Columbia,148333,17122,,,148125,23235,206607,55356,52237,48740,68274,31882,,,206190,95403,,,75486,52532,126429,93905,176776,41489,76890,27426,1484,87,216,78,1268,113,14.6,5.186336235,479873.9121,2986.795868,479873.8945,2986.795868
123,11001008200,338424,0,Census Tract 82,District of Columbia,District of Columbia,130969,11655,,,120577,18609,200288,60939,148295,43020,,,,,240694,39591,,,,,118000,60087,130587,10346,160625,114387,1348,99,180,72,1168,104,13.4,5.250445318,559437.3791,3907.702884,559437.3594,3907.702884
124,11001008301,303973,0,Census Tract 83.01,District of Columbia,District of Columbia,155069,36333,73750,38701,156944,37646,181250,52086,60625,33008,50700,22995,,,,,,,,,98571,42233,168933,22331,,,1007,108,145,47,862,110,14.4,4.404438911,502566.2924,3047.618194,502566.293,3047.618194
125,11001008302,260891,0,Census Tract 83.02,District of Columbia,District of Columbia,143611,22840,59018,24828,144861,26805,161845,11993,108125,57043,53700,20433,,,199583,161487,,,,,,,160952,20250,,,1046,64,106,40,940,67,10.1,3.773489557,431329.8854,3054.186515,431329.8867,3054.186515
126,11001008402,274180,0,Census Tract 84.02,District of Columbia,District of Columbia,81789,12105,,,126111,55335,72614,42873,15104,4292,16776,14023,,,94028,89745,,,,,218824,27914,145081,21583,,,1171,78,212,75,959,95,18.1,6.290230892,453327.0853,3466.792905,453327.0703,3466.792905
