geo_id,name_x,total_pop,pct_male,median_age,pct_hisp_latino,pce_white,pct_black,pct_american_ind,pct_asian,pct_hawaiian_pacisldr,pct_other_race,name_y,pct_unemployed,avg_wrk_commute_mins,median_hsld_income,per_cap_income,name_x,total_households,avg_household_size,avg_family_size,pop_in_households,pct_bach_degree,name_y,total_housing_units,occupied_housing_units,total_units_in_structure,units_built_after_2014,owner_occupied_units,renter_occupied_units
1400000US11001001002,"Census Tract 10.02, District of Columbia, District of Columbia",3519,41.4,29.6,15.4,65.9,5.5,0.0,7.3,0.0,0.7,"Census Tract 10.02, District of Columbia, District of Columbia",6.1,28.8,102479,78905,"Census Tract 10.02, District of Columbia, District of Columbia",1907,1.85,2.81,3519,83.0,"Census Tract 10.02, District of Columbia, District of Columbia",2185,1907,2185,41,725,1182
1400000US11001001100,"Census Tract 11, District of Columbia, District of Columbia",5110,43.3,43.1,8.6,76.5,5.6,0.5,5.3,0.3,0.0,"Census Tract 11, District of Columbia, District of Columbia",2.9,31.1,147727,97462,"Census Tract 11, District of Columbia, District of Columbia",2088,2.41,2.98,5040,87.8,"Census Tract 11, District of Columbia, District of Columbia",2255,2088,2255,0,1409,679
1400000US11001001200,"Census Tract 12, District of Columbia, District of Columbia",5247,47.7,38.4,9.7,73.7,5.7,0.0,5.0,0.0,0.0,"Census Tract 12, District of Columbia, District of Columbia",2.1,29.9,126250,84450,"Census Tract 12, District of Columbia, District of Columbia",2498,2.09,2.89,5217,86.3,"Census Tract 12, District of Columbia, District of Columbia",2585,2498,2585,0,1364,1134
1400000US11001001301,"Census Tract 13.01, District of Columbia, District of Columbia",4133,46.3,35.0,6.1,68.2,14.0,0.0,10.9,0.0,0.0,"Census Tract 13.01, District of Columbia, District of Columbia",4.4,30.7,127000,90159,"Census Tract 13.01, District of Columbia, District of Columbia",1916,2.10,2.81,4030,89.2,"Census Tract 13.01, District of Columbia, District of Columbia",2042,1916,2042,0,664,1252
1400000US11001001302,"Census Tract 13.02, District of Columbia, District of Columbia",7623,42.1,36.6,11.4,72.3,7.0,0.0,7.1,0.0,0.3,"Census Tract 13.02, District of Columbia, District of Columbia",2.4,29.6,107256,90191,"Census Tract 13.02, District of Columbia, District of Columbia",4811,1.58,2.26,7623,84.9,"Census Tract 13.02, District of Columbia, District of Columbia",5203,4811,5203,77,1556,3255
1400000US11001001401,"Census Tract 14.01, District of Columbia, District of Columbia",3548,46.0,38.3,10.4,67.6,7.6,0.2,11.3,0.0,0.4,"Census Tract 14.01, District of Columbia, District of Columbia",3.2,34.9,122419,93515,"Census Tract 14.01, District of Columbia, District of Columbia",1452,2.44,3.33,3540,90.8,"Census Tract 14.01, District of Columbia, District of Columbia",1481,1452,1481,0,823,629
1400000US11001001402,"Census Tract 14.02, District of Columbia, District of Columbia",3443,45.6,42.6,17.9,61.5,8.3,0.0,8.8,0.5,0.3,"Census Tract 14.02, District of Columbia, District of Columbia",2.0,28.8,113991,81122,"Census Tract 14.02, District of Columbia, District of Columbia",1530,2.22,3.14,3392,75.8,"Census Tract 14.02, District of Columbia, District of Columbia",1599,1530,1599,150,764,766
1400000US11001001500,"Census Tract 15, District of Columbia, District of Columbia",6186,54.7,46.1,9.3,80.7,5.8,0.0,1.3,0.0,0.0,"Census Tract 15, District of Columbia, District of Columbia",3.4,31.3,202431,82877,"Census Tract 15, District of Columbia, District of Columbia",2123,2.82,3.30,5991,87.7,"Census Tract 15, District of Columbia, District of Columbia",2139,2123,2139,0,1871,252
1400000US11001001600,"Census Tract 16, District of Columbia, District of Columbia",4688,46.7,44.6,8.0,28.8,58.3,0.0,2.1,0.0,0.0,"Census Tract 16, District of Columbia, District of Columbia",2.6,34.7,169044,70666,"Census Tract 16, District of Columbia, District of Columbia",1530,3.02,3.60,4628,76.7,"Census Tract 16, District of Columbia, District of Columbia",1666,1530,1666,50,1400,130
1400000US11001001702,"Census Tract 17.02, District of Columbia, District of Columbia",3346,45.8,40.9,15.5,40.6,39.2,0.0,1.3,0.0,0.3,"Census Tract 17.02, District of Columbia, District of Columbia",4.9,33.8,84924,63068,"Census Tract 17.02, District of Columbia, District of Columbia",1488,2.21,3.14,3287,67.8,"Census Tract 17.02, District of Columbia, District of Columbia",1563,1488,1563,117,902,586
1400000US11001001803,"Census Tract 18.03, District of Columbia, District of Columbia",4328,50.8,34.5,35.5,4.5,58.6,0.0,0.2,0.0,0.2,"Census Tract 18.03, District of Columbia, District of Columbia",4.0,34.0,52606,22664,"Census Tract 18.03, District of Columbia, District of Columbia",1572,2.75,3.64,4325,25.8,"Census Tract 18.03, District of Columbia, District of Columbia",1715,1572,1715,0,272,1300
